ticker,bucket,rank,score,target_weight_raw,target_weight_final,reason,annual_fee_rate,deployment_ml_proba,core_deployment_multiplier_ml,opp_deployment_multiplier_ml,date
GTT.PA,core,1,1.3237492504547135,0.08062625886873727,0.09913480257130902,KEEP_TOP_RANK,,0.5,1.0,1.0,2018-12-31
EDEN.PA,core,2,1.2305114404566628,0.07390091173483695,0.09086558644126178,NEW_ENTRY,,0.5,1.0,1.0,2018-12-31
SCR.PA,core,3,1.2008096959462515,0.06660046955558119,0.08188925659192531,NEW_ENTRY,,0.5,1.0,1.0,2018-12-31
SESG.PA,core,4,1.1926076887780452,0.06607344722270846,0.08124125114490255,NEW_ENTRY,,0.5,1.0,1.0,2018-12-31
SAN.PA,core,5,0.8223869187185269,0.04236750807877162,0.052093382574841834,NEW_ENTRY,,0.5,1.0,1.0,2018-12-31
RI.PA,core,6,0.7455375329693361,0.03962790009583327,0.048724870872549716,NEW_ENTRY,,0.5,1.0,1.0,2018-12-31
ORA.PA,core,7,0.7113308464625706,0.03449733632644166,0.042416536174964437,KEEP_TOP_RANK,,0.5,1.0,1.0,2018-12-31
GET.PA,core,8,0.5962470633527669,0.03108877681274174,0.0382255085967988,NEW_ENTRY,,0.5,1.0,1.0,2018-12-31
PAEEM.PA,monetary,1,0.20893989632117801,0.045304989598464775,0.13107103908989803,PERMANENT_ETF,0.003,0.5,1.0,1.0,2018-12-31
ESE.PA,monetary,2,-0.02510749130095591,0.04304967343203301,0.12454622502349169,PERMANENT_ETF,0.0014,0.5,1.0,1.0,2018-12-31
ETDD.PA,monetary,3,-0.13281518672064285,0.0420801195781979,0.12174122645264798,PERMANENT_ETF,0.001,0.5,1.0,1.0,2018-12-31
PINR.PA,opportunistic,1,0.5637878796293891,0.4347826086956522,0.08805031446540879,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2018-12-31
GTT.PA,core,1,1.8113995434014953,0.09657323145122666,0.10000000000000002,KEEP_TOP_RANK,,0.5,1.0,1.0,2019-01-31
SESG.PA,core,2,1.5266309453550022,0.07321849895651607,0.08659546882238066,NEW_ENTRY,,0.5,1.0,1.0,2019-01-31
GET.PA,core,3,1.3073763891063146,0.05536894394309638,0.06548481227128246,NEW_ENTRY,,0.5,1.0,1.0,2019-01-31
EDEN.PA,core,4,1.2954936743993424,0.05479646610169383,0.06480774311836086,NEW_ENTRY,,0.5,1.0,1.0,2019-01-31
RI.PA,core,5,1.1923871019334857,0.04487723797988186,0.0530762787779818,NEW_ENTRY,,0.5,1.0,1.0,2019-01-31
OR.PA,core,6,1.0823641452435726,0.04067982015392045,0.048111995575475665,NEW_ENTRY,,0.5,1.0,1.0,2019-01-31
ENGI.PA,core,7,1.0269542833913654,0.03479837683627899,0.04115601657150983,KEEP_TOP_RANK,,0.5,1.0,1.0,2019-01-31
SAN.PA,core,8,1.0167933769947275,0.034470033273037964,0.04076768486300876,NEW_ENTRY,,0.5,1.0,1.0,2019-01-31
PAEEM.PA,monetary,1,0.20893989632117801,0.04434147780982022,0.1019853989625865,PERMANENT_ETF,0.003,0.5,1.0,1.0,2019-01-31
ESE.PA,monetary,2,0.019221470715648004,0.04393005619795597,0.10103912925529873,PERMANENT_ETF,0.0014,0.5,1.0,1.0,2019-01-31
ETDD.PA,monetary,3,-0.11214391698639298,0.04216324860091948,0.0969754717821148,PERMANENT_ETF,0.001,0.5,1.0,1.0,2019-01-31
PUST.PA,opportunistic,1,0.14235770361726008,0.22590894750145782,0.10000000000000002,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2019-01-31
PLEM.PA,opportunistic,2,-0.002573985492566494,0.2088736611941943,0.10000000000000002,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2019-01-31
GTT.PA,core,1,2.3396492853812956,0.14431364636277166,0.1,KEEP_TOP_RANK,,0.5,1.0,1.0,2019-02-28
EDEN.PA,core,2,1.5187744705693815,0.06310380253142264,0.0868992019313995,NEW_ENTRY,,0.5,1.0,1.0,2019-02-28
SESG.PA,core,3,1.3934625448761095,0.05179701736835552,0.07132881524050144,NEW_ENTRY,,0.5,1.0,1.0,2019-02-28
KER.PA,core,4,1.1770172957743,0.043701035991405006,0.06017997329618048,NEW_ENTRY,,0.5,1.0,1.0,2019-02-28
GET.PA,core,5,1.1206441492669814,0.03663277457372234,0.05044638749628719,NEW_ENTRY,,0.5,1.0,1.0,2019-02-28
VIV.PA,core,6,1.0897154174639128,0.03574177577988597,0.049219407805678766,NEW_ENTRY,,0.5,1.0,1.0,2019-02-28
OR.PA,core,7,1.0701902537203662,0.031194652427878045,0.0429576395045315,NEW_ENTRY,,0.5,1.0,1.0,2019-02-28
ENGI.PA,core,8,0.9555845273456153,0.028297903660210965,0.03896857472542112,KEEP_TOP_RANK,,0.5,1.0,1.0,2019-02-28
PAEEM.PA,monetary,1,0.20893989632117801,0.042178292303508,0.0970100722980684,PERMANENT_ETF,0.003,0.5,1.0,1.0,2019-02-28
ESE.PA,monetary,2,0.0587294139403507,0.04499834319426352,0.10349618934680609,PERMANENT_ETF,0.0014,0.5,1.0,1.0,2019-02-28
ETDD.PA,monetary,3,-0.0023443844174824086,0.043258147110924156,0.09949373835512555,PERMANENT_ETF,0.001,0.5,1.0,1.0,2019-02-28
PUST.PA,opportunistic,1,1.2377807689234204,0.31084810194174844,0.1,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2019-02-28
PLEM.PA,opportunistic,2,-0.22954362172690368,0.12393450675390376,0.1,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2019-02-28
GTT.PA,core,1,2.0355145724338444,0.11234535773965136,0.10000000000000105,KEEP_TOP_RANK,,0.5,1.0,1.0,2019-03-29
