date,valeur_portefeuille,plus_haut_historique,drawdown
2020-03-18,39653.54708698177,64820.98109705544,-0.3882606153768463
2020-03-23,40075.72283866787,64820.98109705544,-0.38174766625850487
2020-03-16,40619.5666802206,64820.98109705544,-0.3733577308957795
2020-03-19,41247.142377165794,64820.98109705544,-0.3636760555134595
2020-03-17,41662.04227569485,64820.98109705544,-0.35727535173657854
2020-04-03,42227.531782772545,64820.98109705544,-0.3485514864462492
2020-03-20,42488.50949981594,64820.98109705544,-0.34452535613124147
2020-03-12,43013.44789722347,64820.98109705544,-0.33642707701662045
2020-04-02,43262.28988614321,64820.98109705544,-0.33258816583835316
2020-03-24,43595.91618469143,64820.98109705544,-0.32744127831980907
2020-04-01,43625.86808648348,64820.98109705544,-0.3269792072236125
2020-03-13,43662.75277450466,64820.98109705544,-0.32641018331504257
2020-03-27,43830.158563879966,64820.98109705544,-0.32382759683544815
2020-03-30,44537.24280765438,64820.98109705544,-0.31291933485287016
2020-03-25,44628.3330443182,64820.98109705544,-0.3115140763220339
