indicateur,valeur
Positions finales core,12.0
Positions finales monétaires,3.0
Positions finales opportunistes,2.0
Moyenne positions core,10.154723127035831
Moyenne positions monétaires,2.94299674267101
Moyenne positions opportunistes,1.8626492942453854
