poche,valeur_initiale,valeur_finale,performance_totale,cagr,volatilite_annualisee,max_drawdown,poids_final_dans_portefeuille
Portefeuille,50000.0,81460.05162959814,0.6292010325919628,0.06905436942659637,0.17930844970706253,-0.3882606153768463,1.0
Core,24995.982362747192,46053.665726184845,0.8424427197076683,0.08719631882079049,0.3818365335767753,-0.3776397218740748,0.5653527686870684
Monétaire,14994.152893543243,23619.795963287354,0.5752671145202521,0.06414203397827123,0.27449039124002217,-0.35349033607501734,0.28995557320154225
Opportuniste,9987.149920463562,11769.63423538208,0.1784777768546586,0.022721355812092225,142.0901663437326,-1.0,0.1444835106279952
