mois,performance_portefeuille,performance_benchmark,performance_active,performance_core,performance_monetaire,performance_opportuniste
2018-12,,,,,,
2019-01,0.03695054078244264,0.07154102421731645,-0.03459048343487381,0.09074352126708263,-0.3143348090255246,0.0319338931115174
2019-02,0.023447162599654847,0.05515948875316945,-0.0317123261535146,0.167397977814693,0.04047013051359083,0.02144328171476495
2019-03,0.010386969350153041,0.017537103505054663,-0.007150134154901622,-0.07143232539930466,0.021030183199692187,0.049796207648723945
2019-04,0.028174448399317598,0.03563621223758373,-0.007461763838266133,-0.025561791513549537,0.27174189935814175,-0.513009201907453
2019-05,-0.020384651785069652,-0.04904198543821903,0.028657333653149375,0.22180528981043235,0.22045198241548358,-0.6640875903316288
2019-06,0.05973777579271089,0.06981095944506666,-0.010073183652355766,-0.21499168030994853,0.047157381662823905,5.512385970084273
2019-07,-0.002241249191455852,-0.011658545097879225,0.009417295906423373,0.1270046870263033,0.010804796779143588,-0.30201086048176673
2019-08,-0.02660109694674473,-0.018805463766143116,-0.007795633180601613,-0.1255288011765444,-0.024384232975947273,-0.033758195642348054
2019-09,0.015558251978891269,0.014327953301061624,0.0012302986778296443,0.2042994669133551,0.03417333290601743,-0.27556559151083726
2019-10,0.004783563737263519,0.03986073793870437,-0.03507717420144085,-0.05083048686748781,-0.08016948465779938,0.5887729873571872
2019-11,0.016055378392929143,0.03388257554008667,-0.017827197147157525,0.013495919879030094,0.02590239106663139,0.007435352130254591
2019-12,0.03704074584044603,0.026570695123287802,0.01047005071715823,0.12381668717413485,0.03723910603243019,-0.25999402379142056
2020-01,-0.014830513144432067,-0.0279809508170481,0.013150437672616033,0.0607616708730474,-0.025446475896579224,-0.38166571196004595
2020-02,-0.07865949182437582,-0.08387461850197886,0.005215126677603044,-0.009867138357079086,-0.08632511008686772,-0.6747505619877874
2020-03,-0.2010288812765082,-0.1323833478166131,-0.0686455334598951,-0.23175389106701905,-0.1353627425434083,-0.14084505392961
2020-04,0.12289682570048388,0.102379582428199,0.02051724327228488,0.16329017215661268,0.1344307061813459,-1.0
2020-05,0.07418146292184868,0.09057296801972847,-0.01639150509787979,0.022895789288742252,0.18306105827432861,
