ticker,bucket,score,annual_fee_rate,sector,current_weight_total,target_weight_final,weight_gap,current_market_value,target_market_value,order_value,effective_order_value,action,shares_est,brokerage_est,ttf_est,spread_est,total_cost_est,expected_holding_months,expected_gross_alpha_horizon,required_net_alpha_horizon,roundtrip_cost_ratio,expected_net_alpha_horizon,alpha_surplus,mom12_ex1,ret_6m,ret_3m,ret_20d,vol60,vol20,dd_6m,dist_ma200,dist_ma20,rsi14,breadth_ma200,breadth_slope,benchmark_ret_3m,benchmark_ret_6m,execute,decision_reason,trade_quality_score,trade_quality_proba,trade_quality_label,trade_quality_overlay_applied,rebalance_overlay_applied,rebalance_score,rebalance_proba,rebalance_label,ml_trade_quality_edge,ml_rebalance_edge,date
EDEN.PA,core,1.2954936743993424,0.0,Financials,0.0906531824745482,0.06480774311836086,-0.02584543935618734,4697.094039916993,3357.9412838285075,-1339.1527560884856,1324.8213958740237,SELL,44,1.3248213958740236,0.0,0.6624106979370118,1.9872320938110355,10.0,0.10028523216998082,0.04583333333333334,0.0045,0.09578523216998082,0.04995189883664748,0.3020809409095482,0.018683369898433,0.05696391023798908,0.10336236335431992,0.3033090373766984,0.19852789235150547,-0.03248700842655727,0.1253348341248055,-0.00038083588632842336,53.50868210092926,0.2898550724637681,0.391304347826087,-0.03166325299500928,-0.09182489051607762,True,NEW_ENTRY,,,,False,True,0.05,1.0,1,,0.08085200242381699,2019-01-31
ENGI.PA,core,1.0269542833913654,0.0,Utilities,0.0,0.04115601657150983,0.04115601657150983,0.0,2132.4533222982946,2132.4533222982946,2124.050640106201,BUY,236,2.1240506401062014,6.372151920318603,1.0620253200531007,9.558227880477906,10.0,0.09245283326558149,0.04583333333333334,0.0135,0.07895283326558149,0.03311949993224815,-0.010461017974217945,0.07070280418491981,0.1876859532994235,0.11523123353504006,0.22875510647032346,0.16644008801930224,-0.004271938777986373,0.09290958653937942,0.030088765473999413,70.00003592412108,0.2898550724637681,0.391304347826087,-0.03166325299500928,-0.09182489051607762,True,KEEP_TOP_RANK,,,,False,True,0.05,1.0,1,,0.1388184840673813,2019-01-31
ESE.PA,monetary,0.019221470715648004,0.0014,Unknown,0.15762447015146722,0.10103912925529873,-0.056585340896168485,8167.13698387146,5235.230345682706,-2931.906638188754,2931.5153942108154,SELL,271,2.9315153942108156,0.0,2.9315153942108156,5.863030788421631,18.0,0.08847664412146944,0.06,0.004,0.08447664412146944,0.024476644121469437,0.012975104646958613,-0.025222316046888182,-0.012848868448439132,0.092975829753152,0.20898860456549084,0.1422844058223181,-0.06819653029518402,0.0015802581015753603,0.029567685203696792,69.59364480522812,0.2898550724637681,0.391304347826087,-0.03166325299500928,-0.09182489051607762,True,PERMANENT_ETF,,,,False,True,0.05,1.0,1,,0.05684270629635706,2019-01-31
ETDD.PA,monetary,-0.11214391698639298,0.001,Unknown,0.1500156654383601,0.0969754717821148,-0.053040193656245294,7772.895212173462,5024.676443695697,-2748.2187684777646,2741.8950748443604,SELL,327,2.7418950748443605,0.0,2.7418950748443605,5.483790149688721,18.0,0.0851356824904082,0.06,0.004,0.0811356824904082,0.021135682490408203,-0.11541292000519376,-0.0873965520748956,-0.007104732754360632,0.07279941725325689,0.16883942907981253,0.14908091874945173,-0.09263066013848864,-0.04201168230847019,0.021122691433996144,69.78532071712856,0.2898550724637681,0.391304347826087,-0.03166325299500928,-0.09182489051607762,True,PERMANENT_ETF,,,,False,True,0.03968979270987852,0.8968979270987851,1,,0.03968979270987852,2019-01-31
GET.PA,core,1.3073763891063146,0.0,Industrials,0.03745288809544643,0.06548481227128246,0.028031924175836026,1940.5798301696777,3393.0228705526424,1452.4430403829647,1449.8584938049316,BUY,130,1.4498584938049317,4.349575481414795,1.4498584938049317,7.249292469024659,10.0,0.10063181134893419,0.04583333333333334,0.015000000000000001,0.08563181134893419,0.03979847801560085,0.1148269454184867,0.1279788874473351,0.14979745223005092,0.07666386234480704,0.24511626625199925,0.21170646139258437,-0.022562076991876845,0.11605198489197521,0.03813818818467185,76.07055046184693,0.2898550724637681,0.391304347826087,-0.03166325299500928,-0.09182489051607762,True,NEW_ENTRY,,,,False,True,0.05,1.0,1,,0.097196911836773,2019-01-31
GTT.PA,core,1.8113995434014953,0.0,Energy,0.09844101763993343,0.10000000000000002,0.001558982360066588,5100.612075805664,5181.389016580582,80.77694077491833,54.84529113769531,BUY,1,0.05484529113769531,0.16453587341308595,0.05484529113769531,0.2742264556884766,10.0,0.11533248668254363,0.04583333333333334,0.015000000000000001,0.10033248668254363,0.054499153349210294,0.25638482318711353,0.2782392413512773,0.12767566180343848,0.09910567766937084,0.304478846973068,0.2552751775101941,0.0,0.24240956296858296,0.05139346144451973,71.78572776400317,0.2898550724637681,0.391304347826087,-0.03166325299500928,-0.09182489051607762,False,REJECT_SMALL_ORDER,,,,False,True,0.05,1.0,1,,0.10589913159236244,2019-01-31
OR.PA,core,1.0823641452435726,0.0,Consumer,0.0,0.048111995575475665,0.048111995575475665,0.0,2492.8696544054314,2492.8696544054314,2465.9208374023438,BUY,13,2.4659208374023436,7.397762512207032,1.2329604187011718,11.096643768310546,10.0,0.09406895423627087,0.04583333333333334,0.0135,0.08056895423627088,0.03473562090293754,0.14888744286331734,-0.009429612735499249,0.056309719346157916,0.06541581576420441,0.16314564549186278,0.15092256904444395,-0.0163858985895885,0.032971168783208604,0.051183251673178054,75.5789551587728,0.2898550724637681,0.391304347826087,-0.03166325299500928,-0.09182489051607762,True,NEW_ENTRY,,,,False,True,0.05,1.0,1,,0.053905697899243515,2019-01-31
ORA.PA,core,0.0,0.0,Communication,0.036609973715910675,0.0,-0.036609973715910675,1896.9051570892334,0.0,-1896.9051570892334,1896.9051570892334,SELL,218,1.8969051570892335,0.0,0.9484525785446167,2.84535773563385,10.0,0.0625,0.04583333333333334,0.0045,0.058,0.012166666666666666,0.06001871488302957,-0.05252067920096326,0.001983303570967765,-0.04301838450231832,0.1535476849368339,0.15718847877528966,-0.08658249963684861,-0.030118641054676654,-0.0016554005464402,39.89895499696534,0.2898550724637681,0.391304347826087,-0.03166325299500928,-0.09182489051607762,False,ML_REJECT_NEGATIVE_NET_EDGE,,,,False,True,-0.03548393308093018,0.1451606691906982,0,,-0.03548393308093018,2019-01-31
PAEEM.PA,monetary,0.20893989632117801,0.003,ETF,0.0,0.1019853989625865,0.1019853989625865,0.0,5284.260260363343,5284.260260363343,0.0,BUY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.2898550724637681,0.391304347826087,-0.03166325299500928,-0.09182489051607762,False,REJECT_ZERO_SHARES,,,,False,True,-0.01804042462304237,0.3195957537695763,0,,-0.01804042462304237,2019-01-31
PINR.PA,opportunistic,0.0,0.0,ETF,0.19024212808636567,0.0,-0.19024212808636567,9857.184729576113,0.0,-9857.184729576113,9857.184729576113,SELL,695,9.857184729576113,0.0,9.857184729576113,19.714369459152227,4.0,0.026666666666666665,0.006666666666666666,0.004,0.022666666666666665,0.016,0.0032028634930334476,-0.07476031226813695,0.07430692103761394,0.006671862044905552,0.22871917744972134,0.18336137644599473,-0.08496776703865283,-0.004337753663667621,-0.0005496792525157002,50.0,0.2898550724637681,0.391304347826087,-0.03166325299500928,-0.09182489051607762,True,EXIT_NON_TARGET,,,,False,True,-0.009396128548555413,0.40603871451444584,0,,-0.009396128548555413,2019-01-31
