date,benchmark_value,general_cash,core_cash,monetary_cash,opp_cash,core_positions_value,monetary_positions_value,opp_positions_value,core_total_value,monetary_total_value,opp_total_value,portfolio_value,daily_turnover,costs_paid_this_day,cumulative_costs_paid,num_core_positions,num_monetary_positions,num_opp_positions
2018-12-31,50000.0,20.82611894607544,0.0,0.0,0.0,24997.87106704712,14994.152893543243,9987.149920463562,24997.87106704712,14994.152893543243,9987.149920463562,50000.0,0.0,0.0,0.0,8,2,1
2019-01-02,49370.40772010842,20.82611894607544,0.0,0.0,0.0,24873.89819908142,14973.228715896606,10013.559994697569,24873.89819908142,14973.228715896606,10013.559994697569,49881.51302862167,0.0,0.0,0.0,8,2,1
2019-01-03,48085.483065488326,20.82611894607544,0.0,0.0,0.0,24929.33984184265,14717.817707061768,9791.854825019836,24929.33984184265,14717.817707061768,9791.854825019836,49459.83849287033,0.0,0.0,0.0,8,2,1
2019-01-04,49508.180591778626,20.82611894607544,0.0,0.0,0.0,25289.832609176636,15105.57664012909,10005.21993637085,25289.832609176636,15105.57664012909,10005.21993637085,50421.45530462265,0.0,0.0,0.0,8,2,1
2019-01-07,49311.233124584316,20.82611894607544,0.0,0.0,0.0,25299.382558822632,15129.013785362244,9878.729825019836,25299.382558822632,15129.013785362244,9878.729825019836,50327.95228815079,0.0,0.0,0.0,8,2,1
2019-01-08,50266.51501436754,20.82611894607544,0.0,0.0,0.0,25326.0969581604,15202.053013801575,9895.409941673279,25326.0969581604,15202.053013801575,9895.409941673279,50444.38603258133,0.0,0.0,0.0,8,2,1
2019-01-09,50802.080745554216,20.82611894607544,0.0,0.0,0.0,25367.691109657288,15307.935421943665,9845.370254516602,25367.691109657288,15307.935421943665,9845.370254516602,50541.82290506363,0.0,0.0,0.0,8,2,1
2019-01-10,50630.56209394629,20.82611894607544,0.0,0.0,0.0,25524.69035053253,15327.561233520508,9817.570281028748,25524.69035053253,15327.561233520508,9817.570281028748,50690.64798402786,0.0,0.0,0.0,8,2,1
2019-01-11,50498.31063480813,20.82611894607544,0.0,0.0,0.0,25599.15251159668,15343.37315940857,9857.184729576113,25599.15251159668,15343.37315940857,9857.184729576113,50820.536519527435,0.0,0.0,0.0,8,2,1
2019-01-14,49900.60033620719,20.82611894607544,0.0,0.0,0.0,25492.071994781494,15293.303354263306,9750.849814414978,25492.071994781494,15293.303354263306,9750.849814414978,50557.05128240585,0.0,0.0,0.0,8,2,1
