date,valeur_portefeuille,plus_haut_historique,drawdown
2020-03-18,39740.15931719971,62856.68360541535,-0.36776557340075866
2020-03-23,40428.43891543579,62856.68360541535,-0.3568155906979361
2020-03-19,40636.7055799408,62856.68360541535,-0.3535022331906835
2020-03-16,40738.33515471649,62856.68360541535,-0.35188538723339946
2020-03-17,41494.30554670525,62856.68360541535,-0.33985849767087695
2020-03-20,42004.49591201973,62856.68360541535,-0.33174177346510725
2020-03-12,42903.3162433548,62856.68360541535,-0.31744225462670583
2020-03-13,43013.39740914536,62856.68360541535,-0.3156909505572517
2020-04-03,43029.78795075607,62856.68360541535,-0.31543019003552886
2020-04-01,43207.77227878761,62856.68360541535,-0.31259860049210275
2020-04-02,43388.54102540207,62856.68360541535,-0.3097227130566593
2020-03-24,43571.84630960655,62856.68360541535,-0.3068064713192621
2020-03-27,44214.67143029404,62856.68360541535,-0.2965796333154813
2020-03-30,44546.96217269135,62856.68360541535,-0.291293151061927
2020-04-06,44915.12451577377,62856.68360541535,-0.28543598008240834
