indicateur,valeur
Positions finales core,11.0
Positions finales monétaires,3.0
Positions finales opportunistes,2.0
Moyenne positions core,11.207926167209555
Moyenne positions monétaires,2.954940282301846
Moyenne positions opportunistes,1.8849077090119435
