ticker,bucket,rank,score,target_weight_raw,target_weight_final,reason,ml_trade_quality_proba,annual_fee_rate,deployment_ml_proba,core_deployment_multiplier_ml,opp_deployment_multiplier_ml,date
GTT.PA,core,1,1.3631799933611384,0.08150619965416514,0.10021674234207097,KEEP_TOP_RANK,0.5743736596974434,,0.5,1.0,1.0,2018-12-31
EDEN.PA,core,2,1.2802722127521342,0.07538432736791269,0.09268953459388005,NEW_ENTRY,0.5969924206739773,,0.5,1.0,1.0,2018-12-31
SCR.PA,core,3,1.2444306489052896,0.06761474632633166,0.08313637048300526,NEW_ENTRY,0.5849895746333603,,0.5,1.0,1.0,2018-12-31
SESG.PA,core,4,1.1855222180210963,0.06388129014410104,0.07854586303881606,NEW_ENTRY,0.48528183483227777,,0.5,1.0,1.0,2018-12-31
SAN.PA,core,5,0.8566276653788965,0.042599624451935034,0.05237878352423458,NEW_ENTRY,0.5633078017347236,,0.5,1.0,1.0,2018-12-31
RI.PA,core,6,0.745340416366143,0.038692486971832564,0.047574724547127446,NEW_ENTRY,0.4968558320059366,,0.5,1.0,1.0,2018-12-31
ORA.PA,core,7,0.7093796188007546,0.033552493773781146,0.04125479580361141,KEEP_TOP_RANK,0.4933100954214688,,0.5,1.0,1.0,2018-12-31
GET.PA,core,8,0.6411241354781417,0.031551440005592915,0.03879438063580764,NEW_ENTRY,0.5852484014697317,,0.5,1.0,1.0,2018-12-31
PAEEM.PA,monetary,1,0.20893989632117801,0.045304989598464775,0.13107103908989803,PERMANENT_ETF,,0.003,0.5,1.0,1.0,2018-12-31
ESE.PA,monetary,2,-0.02510749130095591,0.04304967343203301,0.12454622502349169,PERMANENT_ETF,,0.0014,0.5,1.0,1.0,2018-12-31
ETDD.PA,monetary,3,-0.13281518672064285,0.0420801195781979,0.12174122645264798,PERMANENT_ETF,,0.001,0.5,1.0,1.0,2018-12-31
PINR.PA,opportunistic,1,0.5171314247020842,0.4347826086956522,0.08805031446540879,NEW_OPP_ENTRY,0.41674130514937524,0.003,0.5,1.0,1.0,2018-12-31
GTT.PA,core,1,1.8303905571468264,0.09719470652199055,0.10000000000000002,KEEP_TOP_RANK,0.5350991622365578,,0.5,1.0,1.0,2019-01-31
SESG.PA,core,2,1.505248972224175,0.07100182952162663,0.08412840515250684,NEW_ENTRY,0.4558377630871207,,0.5,1.0,1.0,2019-01-31
GET.PA,core,3,1.3360689373115837,0.056150314122691794,0.06653119233379046,NEW_ENTRY,0.5545958138128311,,0.5,1.0,1.0,2019-01-31
EDEN.PA,core,4,1.3354376852102148,0.05611895271671259,0.06649403293823478,NEW_ENTRY,0.5794761354867742,,0.5,1.0,1.0,2019-01-31
RI.PA,core,5,1.1782181570973922,0.04378682092867594,0.05188197876374274,NEW_ENTRY,0.4708998352947561,,0.5,1.0,1.0,2019-01-31
