indicateur,valeur
Nombre de mois,87.0
Proportion de mois positifs,0.6206896551724138
Meilleur mois,0.14495650765219903
Pire mois,-0.2082025726477803
Nombre d'années,8.0
Proportion d'années positives,0.75
Meilleure année,0.22497845983191866
Pire année,-0.1836197850082476
Meilleur jour,0.0886155769792576
Pire jour,-0.1284783742083624
Proportion de jours à alpha positif,0.5062466051059207
Meilleur jour actif,0.029974221445801197
Pire jour actif,-0.04418856874015076
