mois,performance_portefeuille,performance_benchmark,performance_active,performance_core,performance_monetaire,performance_opportuniste
2018-12,,,,,,
2019-01,0.037133398267934936,0.07154102421731645,-0.034407625949381515,0.08781182493020845,-0.3136123596337542,0.0319338931115174
2019-02,0.023232509980366745,0.05515948875316945,-0.031926978772802705,0.21368190747888427,0.04046957629872949,-0.49928622137571843
2019-03,0.0062764802468693315,0.017537103505054663,-0.011260623258185332,-0.07743017934605856,0.02103776593041129,1.0874083640214134
2019-04,0.028299484262774177,0.03563621223758373,-0.007336727974809554,-0.034521353179446934,0.5548066615505265,-0.42743522993927796
2019-05,-0.023821022372447542,-0.04904198543821903,0.025220963065771485,0.2702048797041383,-0.05035386892435778,-0.9918502263477083
2019-06,0.0650579877512405,0.06981095944506666,-0.004752971693826158,-0.2571331181707138,0.04783789070466038,232.6003559896367
2019-07,-0.002425530306149115,-0.011658545097879225,0.00923301479173011,0.12472331821127947,0.011887025376926985,-0.24244694618221407
2019-08,-0.026909711357166577,-0.018805463766143116,-0.008104247591023461,-0.07230685249223312,-0.0235806820660186,-0.036834222894218116
2019-09,0.016494828231246927,0.014327953301061624,0.002166874930185303,0.15169382638701134,0.14617088266130884,-0.529590031919413
2019-10,0.004778953052544832,0.03986073793870437,-0.03508178488615954,-0.06930972587707873,0.015253765972763178,0.5688247572762835
2019-11,0.016036481578259876,0.03388257554008667,-0.017846093961826792,0.0021347898327652715,0.02803881498377936,0.04879563819075239
2019-12,0.03952684612160806,0.026570695123287802,0.01295615099832026,0.24291856296572512,0.03275314832861209,-0.8968340091615126
2020-01,-0.028346467369122164,-0.0279809508170481,-0.0003655165520740633,0.012610080155093462,-0.1057871556239941,0.038336441336047855
2020-02,-0.08357916414330224,-0.08387461850197886,0.00029545435867661674,-0.0818355819541603,-0.08818515175828301,-0.05213514271785458
2020-03,-0.2082025726477803,-0.1323833478166131,-0.07581922483116721,-0.24191836788720256,-0.13777129706240998,-0.19709658836580313
2020-04,0.14495650765219903,0.102379582428199,0.04257692522400003,0.01844125506780414,0.1278871477861856,7.472244669532936
2020-05,0.0706409439723783,0.09057296801972847,-0.019932024047350172,0.07759204565719102,0.06296505754969539,0.05746306279209468
2020-06,0.03079327714161617,0.028163669904762934,0.0026296072368532375,-0.07733187881184078,-0.08108990516585768,1.1584910791934067
2020-07,0.0007636834961097794,-0.019979640914398855,0.020743324410508635,-0.0030000213084416805,-0.0017181017610800042,0.016113841323379452
2020-08,0.038573846326698025,0.0324345286478922,0.006139317678805822,0.15867717099214085,0.14195709882955088,-0.5181955425326358
2020-09,0.010453067707646424,0.0024097716907507394,0.008043296016895685,0.19473015353875978,-0.018697005463562677,-0.9092725672381344
2020-10,-0.061623330881946936,-0.0337569852431453,-0.027866345638801637,-0.07323511626132728,-0.03719845904329688,-0.03250768725306019
2020-11,0.07717385679595212,0.12570687641636025,-0.048533019620408124,-0.22302460743719843,-0.010819439866254776,25.561201311130933
2020-12,0.009778297158072435,0.009745161377042066,3.313578103036896e-05,0.14973044141109737,0.010132148223953585,-0.2213342682729046
2021-01,0.0160243085726246,-0.03849316020539695,0.05451746877802155,-0.06635328166081833,0.009106562913902438,0.3219164139949662
2021-02,0.008889969175329027,0.03508037328310798,-0.026190404107778953,0.05208232203846874,0.017916903787206007,-0.11142201423724685
2021-03,0.0427406284198113,0.03937539000801604,0.003365238411795257,0.18168649087885536,0.03984362552541243,-0.3591074335911727
2021-04,0.0025507493928973446,0.05646470010737903,-0.053913950714481684,0.05024891084006078,-0.09800155961998336,0.022796501340477393
2021-05,0.01694151942792277,0.047857709498446255,-0.030916190070523486,0.12728703070148462,0.0036885547829004217,-0.5728535736499024
2021-06,0.011942401403723268,0.026838523749151966,-0.014896122345428697,-0.02963370349810812,0.026638644956197943,0.5585460287622426
