ticker,bucket,score,annual_fee_rate,sector,current_weight_total,target_weight_final,weight_gap,current_market_value,target_market_value,order_value,effective_order_value,action,shares_est,brokerage_est,ttf_est,spread_est,total_cost_est,expected_holding_months,expected_gross_alpha_horizon,required_net_alpha_horizon,roundtrip_cost_ratio,expected_net_alpha_horizon,alpha_surplus,mom12_ex1,ret_6m,ret_3m,ret_20d,vol60,vol20,dd_6m,dist_ma200,dist_ma20,rsi14,breadth_ma200,breadth_slope,benchmark_ret_3m,benchmark_ret_6m,execute,decision_reason,ml_rebalance_proba
ENGI.PA,core,1.9737701920369406,0.0,Utilities,0.0,0.1,0.1,0.0,4552.748175909042,4552.748175909042,4548.1701583862305,BUY,173,4.54817015838623,13.644510475158691,2.274085079193115,20.466765712738034,10.0,0.12006829726774411,0.04583333333333334,0.013499999999999998,0.10656829726774411,0.060734963934410774,0.6225689527277629,0.478627665929938,0.22793092493669942,0.00573839056546821,0.2574797288645206,0.39578275526038564,-0.10971891959973457,0.24746294300284655,-0.024779262409867386,48.39124848602677,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,NEW_ENTRY,0.999999958573747
GLE.PA,core,1.7975191040345908,0.0,Financials,0.0,0.1,0.1,0.0,4552.748175909042,4552.748175909042,4525.020126342773,BUY,69,4.525020126342773,13.57506037902832,2.2625100631713866,20.36259056854248,10.0,0.11492764053434223,0.04583333333333334,0.0135,0.10142764053434224,0.0555943072010089,0.8924422609232066,0.2210017305700085,0.06564837269133017,-0.12513336937007724,0.3327241957252133,0.44676253660060433,-0.14386418880660234,0.11785573650989645,-0.07875140508410317,39.6449587751168,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,NEW_ENTRY,0.971885895360745
ORA.PA,core,1.4377307645810704,0.0,Communication,0.0,0.07104380360236366,0.07104380360236366,0.0,3234.445472603014,3234.445472603014,3219.5,BUY,188,3.2195,9.6585,1.60975,14.48775,10.0,0.1044338139669479,0.04583333333333334,0.0135,0.0909338139669479,0.04510048063361456,0.486199591775625,0.2798882396859592,0.2463610105727363,0.031626482317212545,0.2689076282995035,0.366501675617776,-0.058548680747072424,0.22227364575202202,-0.023214696745629926,49.68153361476234,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,NEW_ENTRY,0.9999998536023816
EN.PA,core,1.187906778873135,0.0,Industrials,0.0,0.05763318739075931,0.05763318739075931,0.0,2623.8938876510347,2623.8938876510347,2599.0200576782227,BUY,54,2.5990200576782225,7.7970601730346685,1.2995100288391113,11.695590259552002,10.0,0.09714728105046644,0.04583333333333334,0.0135,0.08364728105046644,0.0378139477171331,0.442703280163099,0.30610591753255645,0.11489467476368675,-0.007833380057019945,0.2077106693247305,0.21520822531073705,-0.08706373380707355,0.16381418392413516,-0.04626022925752471,37.55103777898534,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,NEW_ENTRY,0.9999107392596236
RUI.PA,core,1.0639330369484896,0.0,Energy,0.0,0.045966905979917344,0.045966905979917344,0.0,2092.757473522511,2092.757473522511,2090.4000091552734,BUY,60,2.0904000091552737,6.27120002746582,2.0904000091552737,10.45200004577637,10.0,0.09353138024433096,0.04583333333333334,0.015000000000000003,0.07853138024433096,0.03269804691099762,0.44831621924179066,0.195607442770376,0.07597279194950457,0.005193315232781881,0.20885518076944015,0.27462077461379397,-0.05274602205264323,0.1260887548102374,-0.014566538260105233,49.71097596740087,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,NEW_ENTRY,0.9998895012107789
GTT.PA,core,1.0546540802916529,0.0,Energy,0.0,0.04562198293022729,0.04562198293022729,0.0,2077.0539956694574,2077.0539956694574,1958.999938964844,BUY,10,1.958999938964844,5.876999816894532,1.958999938964844,9.79499969482422,10.0,0.09326074400850655,0.04583333333333334,0.015000000000000001,0.07826074400850655,0.03242741067517321,0.3011406041947009,0.3101488172078126,0.18199051277490486,0.09258221172441772,0.2256714060215988,0.23091929360803393,-0.015577920118168831,0.19075400421555422,0.041024525280403124,70.02581768487767,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,NEW_ENTRY,0.9999999658624996
TTE.PA,core,1.053281573171438,0.0,Energy,0.06960499130376543,0.0406280414422627,-0.028976949861502732,3168.939971923828,1849.6924156701848,-1319.2475562536433,1308.9099884033203,SELL,19,1.3089099884033204,0.0,0.6544549942016602,1.9633649826049806,10.0,0.09322071255083361,0.04583333333333334,0.0045000000000000005,0.08872071255083361,0.04288737921750027,0.17439245936383974,0.34836187147320663,0.2401439352840593,0.09995207112841875,0.19370654711846258,0.21595532246643592,-0.006776257447624334,0.2670944204247143,0.04024944397235508,67.67592703007615,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,KEEP_TOP_RANK,0.9999999942178766
AI.PA,core,0.0,0.0,Materials,0.06901809569438867,0.0,-0.06901809569438867,3142.2200927734375,0.0,-3142.2200927734375,3142.2200927734375,SELL,19,3.1422200927734374,0.0,1.5711100463867187,4.713330139160156,10.0,0.0625,0.04583333333333334,0.0045,0.058,0.012166666666666666,-0.049753937212065225,-0.06554407913188542,0.01422793670400413,-0.010766765592935101,0.20094538182081087,0.23565697745007408,-0.07866292544394149,-0.03197726463462591,-0.03811924361138275,41.984244942766985,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,EXIT_NON_TARGET,0.7770855648339623
AIR.PA,core,0.0,0.0,Industrials,0.1117386631182091,0.0,-0.1117386631182091,5087.179946899414,0.0,-5087.179946899414,5087.179946899414,SELL,29,5.087179946899414,0.0,2.543589973449707,7.63076992034912,10.0,0.0625,0.04583333333333334,0.0045,0.058,0.012166666666666666,0.19195710374198516,-0.06462618935202702,-0.10818504885333724,-0.09174692594336231,0.26690362022585323,0.3526564525135555,-0.2033605785645055,-0.07988437188328745,-0.05536574434454644,27.096914521942793,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,EXIT_NON_TARGET,0.000952125142201991
CAP.PA,core,0.0,0.0,Technology,0.04742190552926331,0.0,-0.04742190552926331,2158.999938964844,0.0,-2158.999938964844,2158.999938964844,SELL,20,2.158999938964844,0.0,1.079499969482422,3.2384999084472663,10.0,0.0625,0.04583333333333334,0.0045,0.058,0.012166666666666666,-0.20391658889537534,-0.13709034160721145,-0.2529411975900193,-0.050571681216644904,0.40970976595918185,0.485437378609932,-0.2891011352699383,-0.17476645148123326,0.026145541002887684,58.726897196519374,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,EXIT_NON_TARGET,0.020847026052236848
HO.PA,core,0.0,0.0,Industrials,0.07610787739886683,0.0,-0.07610787739886683,3465.0,0.0,-3465.0,3465.0,SELL,14,3.465,0.0,1.7325,5.1975,10.0,0.0625,0.04583333333333334,0.0045,0.058,0.012166666666666666,0.05109074881930353,0.08928942228473447,0.10392508193091876,-0.03846151566136302,0.3549497989864551,0.37637071252287957,-0.08946578440401631,0.011463371584562454,-0.015199732190398385,48.94260250474703,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,EXIT_NON_TARGET,0.40949945613235683
OR.PA,core,0.0,0.0,Consumer,0.03188403837636151,0.0,-0.03188403837636151,1451.5999755859375,0.0,-1451.5999755859375,1451.5999755859375,SELL,4,1.4515999755859375,0.0,0.7257999877929687,2.1773999633789063,10.0,0.0625,0.04583333333333334,0.0045,0.058,0.012166666666666666,0.14625834367021784,-0.08439513483518157,-0.026425234348801174,-0.06457022173562632,0.28538675731163005,0.35717649212977814,-0.09972714363270918,-0.037315643924187625,-0.06121869680526948,33.21143652879749,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,EXIT_NON_TARGET,0.018570582826472174
SAN.PA,core,0.0,0.0,Healthcare,0.0782619584388164,0.0,-0.0782619584388164,3563.0698852539062,0.0,-3563.0698852539062,3563.0698852539062,SELL,47,3.563069885253906,0.0,1.781534942626953,5.344604827880859,10.0,0.0625,0.04583333333333334,0.0045000000000000005,0.057999999999999996,0.012166666666666659,-0.20804744611849157,-0.061408930179749355,-0.10811767578124998,-0.05579777439094791,0.23153232341700208,0.25062346399872326,-0.1617647555050752,-0.08928571108604955,-0.045809002441647206,39.98272514466539,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,EXIT_NON_TARGET,0.06073688936527582
SGO.PA,core,0.0,0.0,Industrials,0.05953810696984796,0.0,-0.05953810696984796,2710.6200790405273,0.0,-2710.6200790405273,2710.6200790405273,SELL,37,2.7106200790405275,0.0,1.3553100395202637,4.065930118560791,10.0,0.0625,0.04583333333333334,0.0045000000000000005,0.057999999999999996,0.012166666666666659,-0.09788095634326299,-0.20748593464537335,-0.15540691791012284,-0.16938770214219911,0.2943577239754181,0.3003164667857481,-0.22639910773946115,-0.1902806488020904,-0.13807706378718576,12.593272395427576,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,EXIT_NON_TARGET,4.693609935136601e-06
SU.PA,core,0.0,0.0,Industrials,0.09692387366133294,0.0,-0.09692387366133294,4412.69989013672,0.0,-4412.69989013672,4412.69989013672,SELL,18,4.41269989013672,0.0,2.20634994506836,6.61904983520508,10.0,0.0625,0.04583333333333334,0.0045000000000000005,0.057999999999999996,0.012166666666666659,0.13012323648948354,0.09711343586757182,0.04097661951798037,-0.04555192497179028,0.2841628407841828,0.3482018488473393,-0.11402246808337912,0.04534665804007609,-0.058798713705147,43.511979549347046,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,EXIT_NON_TARGET,0.14462602820689982
PAEEM.PA,monetary,0.20893989632117801,0.003,ETF,0.0,0.08710003397302496,0.08710003397302496,0.0,3965.4452079230496,3965.4452079230496,3948.620071411133,BUY,130,3.948620071411133,0.0,1.9743100357055665,5.9229301071166995,18.0,0.09176819688963533,0.06,0.003,0.08876819688963533,0.028768196889635334,0.2992455660940252,0.14381473169843173,0.06243659461987461,-0.02513075870750847,0.1739381687856663,0.2234880600132087,-0.07418916750577298,0.0931817220177591,-0.03872900302530047,39.35756377321071,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,INIT_PERMANENT_ETF,0.5204143974994583
ETDD.PA,monetary,0.10933662556479753,0.001,,0.0,0.10725803900194131,0.10725803900194131,0.0,4883.188414176691,4883.188414176691,4882.164024353027,BUY,266,4.8821640243530275,0.0,4.8821640243530275,9.764328048706055,18.0,0.09178009876694393,0.06,0.004,0.08778009876694393,0.027780098766943928,0.14974476951340532,0.06437025305884791,-0.005203288206879431,-0.061752385550795874,0.1548965028197238,0.1966927644774753,-0.07889192294449587,0.017628274926208443,-0.05186976616473171,32.04958612863281,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,False,REJECT_ML_REBALANCE,0.03643678019982017
ESE.PA,monetary,0.0969397084524978,0.0014,,0.0,0.10564192702503374,0.10564192702503374,0.0,4809.610905627384,4809.610905627384,4800.607894897461,BUY,164,4.800607894897461,0.0,4.800607894897461,9.601215789794923,18.0,0.09080819125357494,0.06,0.004,0.08680819125357493,0.026808191253574934,0.14086820481209972,0.049724893623322775,-0.016701826811161724,-0.009384313270110245,0.10545429328856358,0.10215227537576388,-0.03366588322468489,0.02758230795697658,-0.005430702160879264,52.47164297199049,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,INIT_PERMANENT_ETF,0.6482274018811351
PALAT.PA,opportunistic,0.6051126592490689,0.003,ETF,0.0,0.1,0.1,0.0,4552.748175909042,4552.748175909042,4550.823148727417,BUY,171,4.550823148727417,0.0,4.550823148727417,9.101646297454835,4.0,0.03776891985164804,0.006666666666666666,0.004,0.03376891985164804,0.02710225318498137,0.5184963462660335,0.21453998141919373,0.09284665134281611,-0.05486895462694252,0.225163875651148,0.2315213021351714,-0.07801832389482644,0.14177029645010042,-0.05114703278555621,34.16890405606593,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,False,REJECT_ML_REBALANCE,0.2849972881926897
PANX.PA,opportunistic,0.39749505320895917,0.003,ETF,0.0,0.1,0.1,0.0,4552.748175909042,4552.748175909042,4532.569961547852,BUY,70,4.532569961547852,0.0,2.266284980773926,6.7988549423217775,4.0,0.03361656773084585,0.006666666666666666,0.003,0.03061656773084585,0.023949901064179185,0.23587347064130015,0.09035953996490487,-0.0463067581976806,-0.0157179319581211,0.166123989108757,0.14834287471334423,-0.057509298539274556,0.04416785952787339,-0.0005957917942117641,55.937929056925476,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,NEW_OPP_ENTRY,0.5478159847642305
AF.PA,opportunistic,0.0,0.0,Industrials,0.07925762176218204,0.0,-0.07925762176218204,3608.399929046631,0.0,-3608.399929046631,3608.399929046631,SELL,372,3.608399929046631,0.0,3.608399929046631,7.216799858093262,2.0,0.023333333333333334,0.018333333333333333,0.007000000000000001,0.01633333333333333,-0.0020000000000000018,0.20429570724619062,-0.27665921553779405,-0.11737943482429913,-0.22088353752049728,0.552352306763367,0.7286994856484321,-0.26179607642139024,-0.140818151402762,-0.17332482783582848,34.28377456568657,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,EXIT_NON_TARGET,1.248488326171527e-08
RNO.PA,opportunistic,0.0,0.0,Consumer,0.07827404008487991,0.0,-0.07827404008487991,3563.6199321746826,0.0,-3563.6199321746826,3563.6199321746826,SELL,127,3.563619932174683,0.0,1.7818099660873414,5.345429898262024,2.0,0.023333333333333334,0.018333333333333333,0.00525,0.018083333333333333,-0.0002500000000000002,-0.33068209112347413,-0.17833094547072026,-0.2456989545576248,-0.09571386255177672,0.2990498827651758,0.31378729526021665,-0.24973266521055393,-0.19927748224047992,-0.10421555866877985,18.5082899854973,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,EXIT_NON_TARGET,0.00015410555006094815
TEP.PA,opportunistic,0.0,0.0,Industrials,0.06874265445781029,0.0,-0.06874265445781029,3129.679946899414,0.0,-3129.679946899414,3129.679946899414,SELL,58,3.1296799468994143,0.0,1.5648399734497072,4.694519920349121,2.0,0.023333333333333334,0.018333333333333333,0.0052499999999999995,0.018083333333333333,-0.0002500000000000002,-0.4311381259823488,-0.16599688362213005,-0.10216305400227765,0.016195868833606353,0.47209890016749556,0.5546329240237805,-0.20224719734798458,-0.19390861636132917,0.028671628473503574,57.43727794591469,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,EXIT_NON_TARGET,0.8462531156340234
WLN.PA,opportunistic,0.0,0.0,Technology,0.06919451746987801,0.0,-0.06919451746987801,3150.2521319389343,0.0,-3150.2521319389343,3150.2521319389343,SELL,2268,3.1502521319389345,0.0,3.1502521319389345,6.300504263877869,2.0,0.023333333333333334,0.018333333333333333,0.007,0.016333333333333335,-0.0019999999999999983,-0.8117920455448031,-0.48171640911381686,0.030033403353135757,0.05587231928624137,0.6443671008970132,0.7677713052753279,-0.559746411800352,-0.4528566250436197,-0.022416124401858695,53.526700122792604,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,True,EXIT_NON_TARGET,0.9997309231677681
BNP.PA,core,1.0107167084264501,0.0,Financials,0.03935930495638178,0.039106078654469696,-0.0002532263019120809,1791.9300384521484,1780.4012826109245,-11.528755841223983,0.0,SELL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3916338497779739,0.1332231287726613,0.13184775861360576,-0.09598471890219484,0.25407252791350476,0.28878001670994125,-0.11455847878886682,0.09280706375306669,-0.07233360422265867,32.929195010184216,0.4931506849315068,0.6438356164383562,-0.0033289972569915667,0.01239226576045529,False,REJECT_ZERO_SHARES,0.8994896898975451
