ticker,sector,currently_held_core,current_core_weight_total,sector_current_count,sector_crowding_penalty,liquidity_penalty,mom12_ex1,ret_6m,ret_3m,rel_strength,vol60,dd_6m,ma200_flag,ma200_slope_flag,trend_bonus_value,persistence_bonus,core_score,rank_core,entry_candidate,retention_candidate,eligible_for_selection,construction_score,selected_core_final,selection_reason
ENGI.PA,Utilities,True,0.1004278005391567,1.0,0.04,0.0,0.6225689527277629,0.478627665929938,0.22793092493669942,0.4093863802435976,0.2574797288645206,-0.10971891959973457,True,True,0.2,0.04,1.9738384911995692,1,True,True,True,2.0138384911995693,True,KEEP_TOP_RANK
GLE.PA,Financials,True,0.0996815998470251,2.0,0.08,0.0,0.8924422609232066,0.2210017305700085,0.06564837269133017,0.4345787432842667,0.3327241957252133,-0.14386418880660234,True,True,0.2,0.04,1.7974311452293659,2,True,True,True,1.837431145229366,True,KEEP_TOP_RANK
ORA.PA,Communication,True,0.0719249978814084,1.0,0.04,0.0,0.486199591775625,0.2798882396859592,0.2463610105727363,0.2852658890215424,0.2689076282995035,-0.058548680747072424,True,True,0.2,0.04,1.437686339075604,3,True,True,True,1.477686339075604,True,KEEP_TOP_RANK
EN.PA,Industrials,True,0.0664193995175779,1.0,0.04,0.0,0.442703280163099,0.30610591753255645,0.11489467476368675,0.24508976940744864,0.2077106693247305,-0.08706373380707355,True,True,0.2,0.04,1.347561157349108,4,True,True,True,1.387561157349108,True,KEEP_TOP_RANK
RXL.PA,Industrials,False,0.0,1.0,0.04,0.03,0.5577589547991821,0.1712034625209069,-0.005474461658407148,0.23807304293757656,0.2655183389828438,-0.13400417858885894,True,True,0.2,0.0,1.1324813112521182,5,True,True,True,1.1324813112521182,False,NOT_SELECTED
RUI.PA,Energy,True,0.0452919988642627,3.0,0.12,0.03,0.44831621924179066,0.195607442770376,0.07597279194950457,0.2069623199553039,0.20885518076944015,-0.05274602205264323,True,True,0.2,0.04,1.0234660788510601,6,True,True,True,1.0634660788510601,True,KEEP_TOP_RANK
IPN.PA,Healthcare,False,0.0,0.0,0.0,0.03,0.23603023028579972,0.2968880989852649,0.264971247071774,0.16900321336622898,0.3021844450205345,-0.0660206465918558,True,True,0.2,0.0,1.0201175212491178,7,True,True,True,1.0201175212491178,False,NOT_SELECTED
GTT.PA,Energy,True,0.0391799976252278,3.0,0.12,0.03,0.3011406041947009,0.3101488172078126,0.18199051277490486,0.18894046892807007,0.2256714060215988,-0.015577920118168831,True,True,0.2,0.04,1.0142935799047088,8,True,True,True,1.0542935799047088,True,KEEP_TOP_RANK
TTE.PA,Energy,True,0.0385783985218545,3.0,0.12,0.0,0.17439245936383974,0.34836187147320663,0.2401439352840593,0.14866099729408858,0.19370654711846258,-0.006776257447624334,True,True,0.2,0.04,0.9729561078740739,9,False,True,True,1.0129561078740739,True,KEEP_BUFFER_ZONE
BNP.PA,Financials,True,0.0392517996861011,2.0,0.08,0.0,0.3916338497779739,0.1332231287726613,0.13184775861360576,0.17108083435690136,0.25407252791350476,-0.11455847878886682,True,True,0.2,0.04,0.9703898123162743,10,False,True,True,1.0103898123162742,True,KEEP_BUFFER_ZONE
