ticker,name,sector,industry,currently_held_opp,current_opp_weight_total,ret_5d,ret_10d,ret_20d,ret_3m,ret_6m,ret_12m,mom12_ex1,rsi14,dist_ma20,dist_ma200,dd_12m,vol20,vol60,vol_ratio_20_60,spread_proxy,ttf_flag,liquidity_bucket,absolute_momentum,recent_strength,trend_quality,risk_quality,absolute_momentum_ok,trend_ok,risk_ok,not_overextended,opp_score_raw,cost_penalty,risk_penalty,persistence_bonus,opp_score_net,rank_opp,eligible_opp_candidate,selected_opp_final,selection_reason
PALAT.PA,Amundi PEA MSCI Emerging Latin America ESG Leaders UCITS ETF,ETF,Emerging LatAm,False,0.0,-0.04311086556401822,-0.06542347848656616,-0.05486895462694252,0.09284665134281611,0.21453998141919373,0.4499047416760935,0.5184963462660335,34.16890405606593,-0.05114703278555621,0.14177029645010042,-0.07801832389482644,0.2315213021351714,0.225163875651148,1.028234664488868,0.001,False,standard,0.3269816795849961,-0.056211420165225935,0.2957653944559513,-0.17670469097790406,True,True,True,True,0.6251126592490689,0.02,0.0,0.0,0.6051126592490689,1,True,True,NEW_OPP_ENTRY
PANX.PA,Amundi PEA US Tech Screened UCITS ETF,ETF,US Technology,False,0.0,0.0036891628137118992,0.0018256341174729407,-0.0157179319581211,-0.0463067581976806,0.09035953996490487,0.22862509701956046,0.23587347064130015,55.937929056925476,-0.0005957917942117641,0.04416785952787339,-0.057509298539274556,0.14834287471334423,0.166123989108757,0.8929648000219165,0.0005,False,high,0.12850754913676565,-0.005696264877296587,0.26400544857477326,-0.11486337891409074,True,True,True,True,0.39749505320895917,0.0,0.0,0.0,0.39749505320895917,2,True,True,NEW_OPP_ENTRY
PUST.PA,Amundi PEA Nasdaq-100 UCITS ETF,ETF,Nasdaq 100,False,0.0,0.0007031238404582307,0.016789663924184905,0.002700748210998416,-0.0344866911755064,0.05147149799654405,0.18170491095010233,0.17174087553053896,59.58114304887596,0.005812944078101845,0.02366591129268425,-0.05416481452999111,0.13921002209382788,0.14843734691857088,0.9378369054938385,0.0005,False,high,0.08840108005243168,0.007232343836505651,0.2563957674443292,-0.10630298153531952,True,True,True,True,0.3655281787874358,0.0,0.0,0.0,0.3655281787874358,3,True,False,NOT_SELECTED
PAASI.PA,Amundi PEA MSCI Emerging Asia ESG Leaders UCITS ETF,ETF,Emerging Asia,False,0.0,-0.05729006985381202,-0.05477072437352015,-0.020660301835221606,0.07501670841194885,0.16447183555397293,0.28487033150710084,0.3015170312913307,40.05204924893847,-0.039335698732019364,0.1058279954739787,-0.08142357149451551,0.24365315175659838,0.19333385695973443,1.2602715095439487,0.001,False,standard,0.20825114820737908,-0.03992490332734418,0.281613101067435,-0.2118167312896683,True,True,True,True,0.19066872386207256,0.02,0.0,0.0,0.17066872386207257,4,True,False,NOT_SELECTED
PAEEM.PA,Amundi PEA Emerging Markets ESG Transition UCITS ETF,ETF,Emerging Markets,False,0.0,-0.04947580591971057,-0.05477059760308223,-0.02513075870750847,0.06243659461987461,0.14381473169843173,0.2730092109108655,0.2992455660940252,39.35756377321071,-0.03872900302530047,0.0931817220177591,-0.07418916750577298,0.2234880600132087,0.1739381687856663,1.2848707191381312,0.0005,False,high,0.19748297976073736,-0.04037371176339971,0.27676705755235415,-0.2004866746351177,True,True,True,True,0.16452060792570003,0.0,0.0,0.0,0.16452060792570003,5,True,False,NOT_SELECTED
PLEM.PA,Amundi PEA MSCI Emerging EMEA ESG Leaders UCITS ETF,ETF,Emerging EMEA,False,0.0,-0.04954215773179216,-0.07143816393523184,-0.06898098939007358,0.037951840092106615,0.11261188178956894,0.16617979269048244,0.24179781117804922,34.24050316878278,-0.05236898719370664,0.04780928404332152,-0.07742224799262154,0.22119811938905332,0.1631990592862261,1.3553884462109904,0.001,False,standard,0.1558135416748926,-0.06595323414922269,0.2532981555814912,-0.2077070444528731,True,True,True,True,-0.28675575791240926,0.02,0.0,0.0,-0.3067557579124093,6,False,False,NOT_SELECTED
PINR.PA,Amundi PEA Inde MSCI India UCITS ETF,ETF,India Equities,False,0.0,-0.020893797090828725,-0.05481762886129149,-0.06166818068959623,-0.09251113167692893,-0.06197551623100617,-0.048617433590637193,0.013866961207874562,28.51454609183297,-0.04101071952528945,-0.08175509392986446,-0.1467773535358743,0.1800952494924102,0.1666691157555389,1.080555618694012,0.001,False,standard,-0.03395352447269439,-0.05111561082993607,-0.3096696715270843,-0.14456955317603518,False,False,True,True,-1.4565694651208274,0.02,0.08,0.0,-1.5565694651208275,7,False,False,NOT_SELECTED
