ticker,bucket,rank,score,target_weight_raw,target_weight_final,reason,ml_trade_quality_proba
ENGI.PA,core,1,1.9737701920369406,0.24044135906552375,0.1,NEW_ENTRY,0.5
GLE.PA,core,2,1.7975191040345908,0.2005893418792676,0.1,NEW_ENTRY,0.5
ORA.PA,core,3,1.4377307645810704,0.13237101700609707,0.07104380360236366,NEW_ENTRY,0.5
EN.PA,core,4,1.187906778873135,0.1073839411937674,0.05763318739075931,NEW_ENTRY,0.5
RUI.PA,core,5,1.0639330369484896,0.08564696405110359,0.045966905979917344,NEW_ENTRY,0.5
GTT.PA,core,6,1.0546540802916529,0.0850042927333928,0.04562198293022729,NEW_ENTRY,0.5
TTE.PA,core,7,1.053281573171438,0.0756994261565585,0.0406280414422627,KEEP_TOP_RANK,0.5
BNP.PA,core,9,1.0107167084264501,0.07286365791428928,0.039106078654469696,KEEP_BUFFER_ZONE,0.5
