date,ticker,open,high,low,close,adjusted_close,volume,ret_1d,ret_5d,ret_10d,ret_20d,ret_3m,ret_6m,ret_12m,price_lag_21,price_lag_252,mom12_ex1,ma20,ma200,ma200_lag20,ma200_slope,daily_return,vol20,vol60,vol_ratio_20_60,rolling_max_6m,dd_6m,rolling_max_12m,dd_12m,dist_ma20,dist_ma200,ma200_flag,ma200_slope_flag,rsi14,avg_volume_20,volume_spike
2025-01-02,MC.PA,637.9000244140625,639.4000244140625,619.2999877929688,635.4000244140625,620.5187377929688,374039,,,,,,,,,,,,,,,,,,,,,,,,,False,False,50.0,,
2025-01-03,MC.PA,635.0,635.7999877929688,609.5999755859375,611.2999877929688,596.9830932617188,415336,-0.037928982797458266,,,,,,,,,,,,,,-0.037928982797458266,,,,,,,,,,False,False,50.0,,
2025-01-06,MC.PA,614.7000122070312,643.9000244140625,613.2999877929688,634.5999755859375,619.7373657226562,611624,0.03811543864101008,,,,,,,,,,,,,,0.03811543864101008,,,,,,,,,,False,False,50.0,,
2025-01-07,MC.PA,636.2999877929688,646.2000122070312,632.4000244140625,644.5,629.4055786132812,432713,0.015600500188255095,,,,,,,,,,,,,,0.015600500188255095,,,,,,,,,,False,False,50.0,,
2025-01-08,MC.PA,643.7000122070312,645.0,630.2999877929688,635.7000122070312,620.8116455078125,380525,-0.01365404660759928,,,,,,,,,,,,,,-0.01365404660759928,,,,,,,,,,False,False,50.0,,
2025-01-09,MC.PA,630.2999877929688,649.0999755859375,629.7000122070312,648.0,632.8236083984375,408809,0.019348804065683067,0.019829974271581507,,,,,,,,,,,,,0.019348804065683067,,,,,,,,,,False,False,50.0,,
2025-01-10,MC.PA,645.0999755859375,655.0,642.4000244140625,645.0,629.8938598632812,410414,-0.0046296448114047095,0.055128473440929415,,,,,,,,,,,,,-0.0046296448114047095,,,,,,,,,,False,False,50.0,,
2025-01-13,MC.PA,642.0,648.5999755859375,638.5999755859375,646.4000244140625,631.2611083984375,293771,0.002170601465226296,0.018594558458394417,,,,,,,,,,,,,0.002170601465226296,,,,,,,,,,False,False,50.0,,
2025-01-14,MC.PA,657.7000122070312,662.4000244140625,651.0,651.0,635.7532958984375,466755,0.007116211406397399,0.010085257425175076,,,,,,,,,,,,,0.007116211406397399,,,,,,,,,,False,False,50.0,,
2025-01-15,MC.PA,648.4000244140625,653.4000244140625,637.2000122070312,637.2000122070312,622.2765502929688,528879,-0.021198074304001224,0.0023596606084248517,,,,,,,,,,,,,-0.021198074304001224,,,,,,,,,,False,False,50.0,,
2025-01-16,MC.PA,690.0,700.7000122070312,678.0,695.5,679.2111206054688,1078089,0.09149399938933112,0.07330243624195631,0.09458599593826,,,,,,,,,,,,0.09149399938933112,,,,,,,,,,False,False,50.0,,
2025-01-17,MC.PA,691.0999755859375,699.5,685.5999755859375,690.0999755859375,673.9375610351562,714731,-0.007764242089575157,0.06992241705838298,0.128905606611041,,,,,,,,,,,,-0.007764242089575157,,,,,,,,,,False,False,50.0,,
2025-01-20,MC.PA,690.0,696.2000122070312,680.9000244140625,683.0999755859375,667.1015014648438,418509,-0.010143461301982404,0.056775861192108534,0.07642614172046525,,,,,,,,,,,,-0.010143461301982404,,,,,,,,,,False,False,50.0,,
2025-01-21,MC.PA,684.0,701.2999877929688,683.0999755859375,701.2999877929688,684.875244140625,521381,0.026643235904510787,0.07726573902030509,0.08813024131364644,,,,,,,,,,,,0.026643235904510787,,,,,,,,,,False,False,50.0,,
2025-01-22,MC.PA,700.0,714.2999877929688,697.7999877929688,713.7999877929688,697.08251953125,617979,0.017824086204112355,0.120213382945352,0.12285670633811852,,,,,,,,,,,,0.017824086204112355,,,,,,,,,,False,False,69.34844164670004,,
